-11.4133	-2.36277	-0.330388	1.04102	1.96384	0.825735	
-11.4133	-2.36277	-0.330388	1.04102	1.96384	0.825735	
-10.5033	-2.77748	-0.330384	-0.0106637	-0.38447	-1.6557	
-11.1854	-2.43475	-0.976375	0.0666992	1.16868	-0.845803	
-10.8408	-2.95742	-1.75615	0.446249	-0.485591	0.425765	
-10.1994	-3.62815	-2.12868	0.610414	-0.078611	-0.0262177	
-9.35849	-3.25415	-2.51983	0.97518	0.213971	1.03625	
-9.92624	-3.48227	-1.72887	-0.0526333	1.4749	0.667446	
-9.80627	-4.17165	-1.01447	-0.668537	-0.0063001	-0.653179	
-8.84192	-4.36702	-1.19299	-0.422553	0.255549	0.379351	
-9.21121	-5.2488	-0.899572	0.0653276	0.172532	0.744336	
-8.63866	-4.4938	-1.21919	-0.074785	-0.172031	-0.323615	
-8.6543	-5.31223	-1.79358	-0.121342	0.108981	-0.724326	
-9.52569	-5.76664	-1.97845	-0.752615	0.367245	1.57184	
-8.71705	-5.43832	-1.4903	-0.708433	0.583273	1.35371	
-9.6682	-5.14201	-1.40371	-1.21677	-0.428539	-0.663254	
-9.42549	-5.5738	-2.27241	-0.724615	0.469865	-0.973625	
-8.77495	-4.90588	-1.91093	-0.645415	-0.289698	0.293023	
-8.10221	-5.64044	-1.82236	-0.322849	0.0224053	0.435833	
-8.37903	-6.58973	-1.67335	-2.1333	0.23016	-1.56295	
-7.96406	-7.49529	-1.76144	0.747551	1.33644	0.486284	
-8.40891	-6.98089	-1.0283	0.910465	1.60709	0.396196	
-8.56659	-6.48919	-1.88466	-0.126345	0.0563132	-0.305642	
-8.83517	-7.29627	-1.35885	0.0992893	0.691309	0.788092	
-9.72451	-7.14166	-0.928544	-0.520795	-0.708298	0.146937	
-10.3977	-7.66175	-0.402927	-1.40372	-0.470344	-0.741883	
-10.1831	-6.70553	-0.203939	-0.588194	-0.864374	0.612712	
-10.6872	-7.56394	-0.29938	-0.44499	-0.933335	0.477061	
-11.1352	-7.12811	0.481172	0.216217	1.29849	-0.383611	
-11.8691	-6.9986	-0.185657	1.59125	-0.289601	-2.21687	
-11.2242	-7.55498	0.338303	-0.750261	-0.673819	0.281286	
-11.4794	-8.16503	-0.411841	0.189154	-0.374765	-0.283447	
-10.9311	-9.00128	-0.40407	0.722265	-0.0268332	-0.42452	
-10.0986	-9.55426	-0.439058	0.22351	-0.785446	-0.321004	
-9.14678	-9.67658	-0.720137	0.994742	-0.0125055	1.928	
-8.47628	-9.51343	-1.44389	1.11839	-0.144075	2.01241	
